Year;Month;Palestinians Injuries;Israelis Injuries;Palestinians Killed;Israelis Killed;;;;;
2000;DECEMBER;781;15;51;8;;;;;
2000;NOVEMBER;3838;15;112;22;;;;;
2000;OCTOBER;5984;15;104;10;;;;;
2000;SEPTEMBER;198;15;16;1;;;;;
2001;DECEMBER;304;15;67;36;;;;;
2001;NOVEMBER;160;15;39;14;;;;;
2001;OCTOBER;407;15;89;14;;;;;
2001;SEPTEMBER;657;15;59;13;;;;;
2001;AUGUST;502;15;37;26;;;;;
2001;JULY;394;15;32;10;;;;;
2001;JUNE;319;15;13;28;;;;;
2001;MAY;932;15;46;17;;;;;
2001;APRIL;715;15;23;7;;;;;
2001;MARCH;927;15;27;8;;;;;
2001;FEBRUARY;598;15;19;13;;;;;
2001;JANUARY;471;15;19;6;;;;;
2002;DECEMBER;185;15;72;7;;;;;
2002;NOVEMBER;264;15;46;40;;;;;
2002;OCTOBER;388;15;66;22;;;;;
2002;SEPTEMBER;353;15;51;13;;;;;
2002;AUGUST;186;15;53;13;;;;;
2002;JULY;374;15;43;25;;;;;
2002;JUNE;299;15;57;57;;;;;
2002;MAY;181;15;48;29;;;;;
2002;APRIL;523;15;246;46;;;;;
2002;MARCH;870;15;237;122;;;;;
2002;FEBRUARY;429;15;85;29;;;;;
2002;JANUARY;330;15;28;16;;;;;
2003;DECEMBER;322;15;48;6;;;;;
2003;NOVEMBER;106;15;30;4;;;;;
2003;OCTOBER;289;15;58;27;;;;;
2003;SEPTEMBER;226;15;29;21;;;;;
2003;AUGUST;191;15;26;25;;;;;
2003;JULY;34;15;4;2;;;;;
2003;JUNE;367;15;59;28;;;;;
2003;MAY;239;15;61;13;;;;;
2003;APRIL;303;15;59;6;;;;;
2003;MARCH;379;15;85;23;;;;;
2003;FEBRUARY;244;15;69;8;;;;;
2003;JANUARY;292;15;60;22;;;;;
2004;DECEMBER;161;15;61;8;;;;;
2004;NOVEMBER;98;15;42;3;;;;;
2004;OCTOBER;343;15;145;3;;;;;
2004;SEPTEMBER;579;15;112;11;;;;;
2004;AUGUST;287;15;39;17;;;;;
2004;JULY;251;15;0;0;;;;;
2004;JUNE;377;15;59;3;;;;;
2004;MAY;545;15;113;19;;;;;
2004;APRIL;346;15;55;3;;;;;
2004;MARCH;417;15;79;11;;;;;
2004;FEBRUARY;437;15;54;11;;;;;
2004;JANUARY;168;15;27;15;;;;;
2005;DECEMBER;166;88;20;8;;;;;
2005;NOVEMBER;99;17;15;1;;;;;
2005;OCTOBER;81;46;22;10;;;;;
2005;SEPTEMBER;90;25;17;1;;;;;
2005;AUGUST;130;16;11;0;;;;;
2005;JULY;165;105;25;8;;;;;
2005;JUNE;116;20;5;4;;;;;
2005;MAY;81;17;10;1;;;;;
2005;APRIL;183;19;5;0;;;;;
2005;MARCH;68;17;1;0;;;;;
2005;FEBRUARY;42;62;9;5;;;;;
2005;JANUARY;164;61;50;13;;;;;
2006;DECEMBER;73;12;14;0;;;;;
2006;NOVEMBER;491;30;134;0;;;;;
2006;OCTOBER;180;19;61;0;;;;;
2006;SEPTEMBER;196;24;32;1;;;;;
2006;AUGUST;266;10;74;1;;;;;
2006;JULY;799;41;180;2;;;;;
2006;JUNE;198;26;43;3;;;;;
2006;MAY;257;14;37;0;;;;;
2006;APRIL;254;78;31;7;;;;;
2006;MARCH;203;46;15;5;;;;;
2006;FEBRUARY;194;30;31;1;;;;;
2006;JANUARY;88;47;13;0;;;;;
2007;DECEMBER;13720;20;61;2;;;;;
2007;NOVEMBER;127;6;31;1;;;;;
2007;OCTOBER;152;13;36;2;;;;;
2007;SEPTEMBER;135;87;34;0;;;;;
2007;AUGUST;154;56;47;0;;;;;
2007;JULY;67;7;27;1;;;;;
2007;JUNE;162;19;40;0;;;;;
2007;MAY;281;30;62;2;;;;;
2007;APRIL;115;22;16;0;;;;;
2007;MARCH;153;15;9;0;;;;;
2007;FEBRUARY;256;35;12;1;;;;;
2007;JANUARY;104;12;10;3;;;;;
2008;DECEMBER;198;15;432;4;;;;;
2008;NOVEMBER;198;15;15;0;;;;;
2008;OCTOBER;198;15;4;1;;;;;
2008;SEPTEMBER;198;15;3;0;;;;;
2008;AUGUST;198;15;0;4;;;;;
2008;JULY;198;15;8;4;;;;;
2008;JUNE;198;15;30;1;;;;;
2008;MAY;198;15;40;2;;;;;
2008;APRIL;198;15;72;8;;;;;
2008;MARCH;198;15;114;12;;;;;
2008;FEBRUARY;198;15;79;2;;;;;
2008;JANUARY;198;15;89;1;;;;;
2009;DECEMBER;195;15;6;1;;;;;
2009;NOVEMBER;30;15;1;0;;;;;
2009;OCTOBER;88;15;0;0;;;;;
2009;SEPTEMBER;80;15;9;0;;;;;
2009;AUGUST;36;15;6;0;;;;;
2009;JULY;26;15;2;0;;;;;
2009;JUNE;89;15;4;0;;;;;
2009;MAY;82;15;6;1;;;;;
2009;APRIL;136;15;6;1;;;;;
2009;MARCH;87;15;9;0;;;;;
2009;FEBRUARY;65;15;9;0;;;;;
2009;JANUARY;5557;15;978;6;;;;;
2010;DECEMBER;105;5;13;0;;;;;
2010;NOVEMBER;87;7;3;0;;;;;
2010;OCTOBER;147;5;6;0;;;;;
2010;SEPTEMBER;148;12;13;0;;;;;
2010;AUGUST;46;11;2;4;;;;;
2010;JULY;85;0;5;0;;;;;
2010;JUNE;104;21;15;1;;;;;
2010;MAY;118;17;2;0;;;;;
2010;APRIL;119;10;5;0;;;;;
2010;MARCH;402;59;8;2;;;;;
